Addam_Marbrand:'siblings':[]| 'fmc':[['Damon_Marbrand'], []]| 'love':[]
Hotho_Harlaw:'siblings':[]| 'fmc':[[], []]| 'love':[]
Howard_Bullock:'siblings':['Alyn_Bullock']| 'fmc':[['Merrell_Bullock'], []]| 'love':['Coryanne_Wylde']
Hubard_Rambton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hubert_Arryn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hugh:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hugh_Clifton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hugh_Hammer:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hugo_Wull:'siblings':[]| 'fmc':[[], []]| 'love':[]
Hullen:'siblings':[]| 'fmc':[[], ['Harwin']]| 'love':[]
Humfrey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Humfrey_Beesbury:'siblings':[]| 'fmc':[[], []]| 'love':['Humfrey_Hardyng']
Humfrey_Bracken:'siblings':[]| 'fmc':[[], ['Amos_Bracken', 'Raylon_Rivers']]| 'love':[]
Humfrey_Clifton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Humfrey_Hardyng:'siblings':[]| 'fmc':[[], []]| 'love':[]
Humfrey_Swyft:'siblings':[]| 'fmc':[[], []]| 'love':[]
Illifer:'siblings':[]| 'fmc':[[], []]| 'love':[]
Illyrio_Mopatis:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ilyn_Payne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Imry_Florent:'siblings':['Selyse_Florent', 'Erren_Florent']| 'fmc':[['Ryam_Florent'], []]| 'love':[]
Irri:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jacaerys_Velaryon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jacelyn_Bywater:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jack_Bulwer:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jack_Musgood:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jacks:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jaehaerys_I_Targaryen:'siblings':['Alysanne_Targaryen', 'Rhaena_Targaryen_(daughter_of_Aenys_I)']| 'fmc':[['Aenys_I_Targaryen', 'Alyssa_Velaryon'], ['Aegon_Targaryen_(son_of_Jaehaerys_I)', 'Alyssa_Targaryen', 'Daella_Targaryen_(daughter_of_Jaehaerys_I)', 'Aeryn_Targaryen', 'Vaegon_Targaryen', 'Maegelle_Targaryen', 'Valerion_Targaryen', 'Viserra_Targaryen', 'Gaemon_Targaryen_(son_of_Jaehaerys_I)', 'Saera_Targaryen', 'Gael_Targaryen']]| 'love':['Alysanne_Targaryen']
Jafer_Flowers:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jaime_Lannister:'siblings':['Cersei_Lannister', 'Tyrion_Lannister']| 'fmc':[['Tywin_Lannister', 'Joanna_Lannister'], ['Joffrey_Baratheon', 'Myrcella_Baratheon', 'Tommen_Baratheon']]| 'love':['Cersei_Lannister']
Jalabhar_Xho:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jammos_Frey:'siblings':['Lothar_Frey', 'Whalen_Frey', 'Morya_Frey', 'Tyta_Frey']| 'fmc':[['Walder_Frey', 'Alyssa_Blackwood'], ['Walder_Frey_(son_of_Jammos)', 'Dickon_Frey', 'Mathis_Frey']]| 'love':['Sallei_Paege']
Janei_Lannister:'siblings':['Lancel_Lannister', 'Willem_Lannister', 'Martyn_Lannister']| 'fmc':[['Kevan_Lannister', 'Dorna_Swyft'], []]| 'love':[]
Janna_Tyrell:'siblings':['Mace_Tyrell', 'Mina_Tyrell']| 'fmc':[['Luthor_Tyrell', 'Olenna_Tyrell'], []]| 'love':[]
Janos_Slynt:'siblings':[]| 'fmc':[[], ['Morros_Slynt', 'Danos_Slynt']]| 'love':[]
Jaqen_H%27ghar:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jared_Frey:'siblings':['Stevron_Frey', 'Emmon_Frey', 'Aenys_Frey', 'Symond_Frey', 'Merrett_Frey', 'Olyvar_Frey', 'Roslin_Frey', 'Walder_Rivers']| 'fmc':[['Walder_Frey'], []]| 'love':[]
Jaremy_Rykker:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jason_Lannister:'siblings':[]| 'fmc':[[], []]| 'love':['Johanna_Westerling']
Jason_Lannister_(son_of_Gerold):'siblings':['Tywald_Lannister', 'Tion_Lannister', 'Tytos_Lannister']| 'fmc':[['Gerold_Lannister', 'Rohanne_Webber'], ['Lynora_Hill', 'Damon_Lannister_(son_of_Jason)', 'Joanna_Lannister', 'Stafford_Lannister']]| 'love':['Alys_Stackspear', 'Marla_Prester']
Jasper_Waynwood:'siblings':[]| 'fmc':[['Elys_Waynwood'], []]| 'love':[]
Jax:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jayne_Bracken:'siblings':['Barbara_Bracken', 'Catelyn_Bracken', 'Bess_Bracken', 'Alysanne_Bracken']| 'fmc':[['Jonos_Bracken'], []]| 'love':[]
Jennis_Templeton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jenye_Westling:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jeren:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jeyne_Beesbury:'siblings':[]| 'fmc':[[], ['Walda_Frey_(daughter_of_Rhaegar)', 'Jonos_Frey']]| 'love':['Rhaegar_Frey']
Jeyne_Darry:'siblings':['Mariya_Darry']| 'fmc':[[], ['Tywin_Frey', 'Willem_Frey']]| 'love':['Cleos_Frey']
Jeyne_Farman:'siblings':['Sebaston_Farman']| 'fmc':[[], []]| 'love':['Gareth_Clifton']
Jeyne_Goodbrook:'siblings':['Walder_Goodbrook']| 'fmc':[['Garse_Goodbrook', 'Kyra_Frey'], []]| 'love':[]
Jeyne_Manderly:'siblings':[]| 'fmc':[[], ['Serena_Stark', 'Sansa_Stark_(Daughter_of_Rickon)']]| 'love':['Rickon_Stark_(Son_of_Cregan)']
Jeyne_Marbrand:'siblings':[]| 'fmc':[['Alyn_Marbrand'], ['Tywin_Lannister', 'Kevan_Lannister', 'Genna_Lannister', 'Tygett_Lannister', 'Gerion_Lannister']]| 'love':['Tytos_Lannister']
Jeyne_Poole:'siblings':[]| 'fmc':[['Vayon_Poole'], []]| 'love':['Ramsay_Bolton']
Jeyne_Waters:'siblings':['Jon_Waters']| 'fmc':[['Elaena_Targaryen'], []]| 'love':[]
Jeyne_Westerling:'siblings':['Raynald_Westerling', 'Eleyna_Westerling', 'Rollam_Westerling']| 'fmc':[['Gawen_Westerling', 'Sybell_Spicer'], []]| 'love':['Robb_Stark']
Jeyne_Westerling_(Wife_of_Maegor_I):'siblings':[]| 'fmc':[[], []]| 'love':['Alyn_Tarbeck', 'Maegor_I_Targaryen']
Jhiqui:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jhogo:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jirelle_Mooton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Joanna_Lannister:'siblings':['Damon_Lannister_(son_of_Jason)', 'Lynora_Hill', 'Stafford_Lannister']| 'fmc':[['Jason_Lannister_(son_of_Gerold)', 'Marla_Prester'], ['Tyrion_Lannister', 'Jaime_Lannister', 'Cersei_Lannister']]| 'love':['Tywin_Lannister']
Joanna_Swyft:'siblings':[]| 'fmc':[['Steffon_Swyft'], []]| 'love':[]
Jocasta_Lannister:'siblings':[]| 'fmc':[[], []]| 'love':['Lyman_Lannister']
Jocelyn_Stark:'siblings':['Edwyle_Stark']| 'fmc':[['Willam_Stark', 'Melantha_Blackwood'], []]| 'love':[]
Jocelyn_Swyft:'siblings':[]| 'fmc':[[], []]| 'love':[]
Joffrey_Caswell:'siblings':[]| 'fmc':[[], []]| 'love':[]
Joffrey_I_Baratheon:'siblings':['Myrcella_Baratheon', 'Tommen_I_Baratheon']| 'fmc':[['Robert_I_Baratheon', 'Jaime_Lannister', 'Cersei_Lannister'], []]| 'love':['Margaery_Tyrell']
Joffrey_Lannister:'siblings':[]| 'fmc':[[], []]| 'love':[]
Joffrey_Lonmouth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Johanna_Westerling:'siblings':[]| 'fmc':[[], []]| 'love':['Jason_Lannister']
John_the_Oak:'siblings':['Gilbert_of_the_Vines', 'Florys_the_Fox', 'Maris_the_Maid', 'Brandon_of_the_Bloody_Blade', 'Foss_the_Archer', 'Owen_Oakenshield', 'Harlon_the_Hunter', 'Herndon_of_the_Horn', 'Bors_the_Breaker', 'Rose_of_Red_Lake', 'Ellyn_Ever_Sweet', 'Rowan_Gold-Tree', 'Garth_the_Gardener']| 'fmc':[['Garth_Greenhand'], []]| 'love':[]
Jojen_Reed:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jommo:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jon_Bettley:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jon_Brax:'siblings':['Robert_Brax_(son_of_Flement)', 'Walder_Brax']| 'fmc':[['Flement_Brax', 'Morya_Frey'], []]| 'love':[]
Jon_Brightstone:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jon_Bulwer:'siblings':[]| 'fmc':[[], ['Alysanne_Bulwer']]| 'love':['Victaria_Tyrell']
Jon_Cafferen:'siblings':[]| 'fmc':[[], []]| 'love':['Alys_Oakheart']
Jon_Connington:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jon_Florent:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jon_Heddle:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jon_Hogg:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jon_Mooton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jon_Myre:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jon_Penrose:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jon_Piper:'siblings':['Melony_Piper']| 'fmc':[[], []]| 'love':[]
Jon_Redfort:'siblings':['Mychel_Redfort']| 'fmc':[['Horton_Redfort'], []]| 'love':[]
Jon_Roxton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jon_Stark:'siblings':[]| 'fmc':[[], ['Rickard_Stark_(king)']]| 'love':[]
Jon_Umber_(Greatjon):'siblings':[]| 'fmc':[['Hoarfrost_Umber'], []]| 'love':[]
Jon_Umber_(Husband_of_Serena):'siblings':[]| 'fmc':[[], []]| 'love':['Serena_Stark']
Jon_Waters:'siblings':['Jeyne_Waters']| 'fmc':[['Elaena_Targaryen'], []]| 'love':[]
Jonah_Mooton:'siblings':[]| 'fmc':[[], []]| 'love':['Perianne_Moore']
Jonnel_Stark:'siblings':['Rickon_Stark_(Son_of_Cregan)', 'Sarra_Stark', 'Alys_Stark', 'Raya_Stark', 'Mariah_Stark', 'Lyanna_Stark_(Daughter_of_Cregan)', 'Barthogan_Stark', 'Brandon_Stark_(Son_of_Cregan)']| 'fmc':[['Cregan_Stark', 'Lynara_Stark'], []]| 'love':['Sansa_Stark_(Daughter_of_Rickon)', 'Robyn_Ryswell']
Jonos_Arryn:'siblings':['Ronnel_Arryn_(king)']| 'fmc':[[], []]| 'love':[]
Jonos_Bracken:'siblings':[]| 'fmc':[[], ['Harry_Rivers']]| 'love':[]
Jonos_Frey:'siblings':['Robert_Frey_(son_of_Rhaegar)', 'Walda_Frey_(daughter_of_Rhaegar)']| 'fmc':[['Rhaegar_Frey', 'Jeyne_Beesbury'], []]| 'love':[]
Jonothor_Darry:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jonquil:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jonquil_Darke:'siblings':[]| 'fmc':[[], []]| 'love':[]
Joron_I_Blacktyde:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jorquen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Jory_Cassel:'siblings':[]| 'fmc':[['Martyn_Cassel'], []]| 'love':[]
Joseran:'siblings':[]| 'fmc':[[], []]| 'love':[]
Joseth_Mallister:'siblings':[]| 'fmc':[[], []]| 'love':[]
Joss_Stillwood:'siblings':[]| 'fmc':[[], []]| 'love':[]
Josua_Massey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Joy_Hill:'siblings':[]| 'fmc':[['Gerion_Lannister'], []]| 'love':[]
Joyeuse_Erenford:'siblings':[]| 'fmc':[[], []]| 'love':['Walder_Frey']
Jurene:'siblings':[]| 'fmc':[[], []]| 'love':[]
Justin_Massey_(Milk-Eye):'siblings':[]| 'fmc':[[], []]| 'love':[]
Jyck:'siblings':[]| 'fmc':[[], []]| 'love':[]
Kaeth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Karlon_Stark:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rickard_Karstark:'siblings':[]| 'fmc':[[], ['Harrion_Karstark', 'Torrhen_Karstark', 'Eddard_Karstark', 'Alys_Karstark']]| 'love':[]
Karyl_Vance:'siblings':[]| 'fmc':[[], []]| 'love':[]
Kedge:'siblings':[]| 'fmc':[[], []]| 'love':[]
Kegs:'siblings':[]| 'fmc':[[], []]| 'love':[]
Kella:'siblings':[]| 'fmc':[[], []]| 'love':[]
Kermit_Tully:'siblings':['Oscar_Tully']| 'fmc':[['Elmo_Tully'], []]| 'love':[]
Kevan_Lannister:'siblings':['Tywin_Lannister', 'Tygett_Lannister', 'Gerion_Lannister', 'Genna_Lannister']| 'fmc':[['Tytos_Lannister', 'Jeyne_Marbrand'], ['Lancel_Lannister', 'Martyn_Lannister', 'Willem_Lannister', 'Janei_Lannister']]| 'love':['Dorna_Swyft']
Kezmya_Pahl:'siblings':[]| 'fmc':[[], []]| 'love':[]
Kindly_Man:'siblings':[]| 'fmc':[[], []]| 'love':[]
Category:Knights:'siblings':[]| 'fmc':[[], []]| 'love':[]
Kurleket:'siblings':[]| 'fmc':[[], []]| 'love':[]
Kyra:'siblings':[]| 'fmc':[[], []]| 'love':[]
Kyra_Frey:'siblings':[]| 'fmc':[['Jared_Frey'], ['Walder_Goodbrook', 'Jeyne_Goodbrook']]| 'love':['Garse_Goodbrook']
Laenor_Velaryon:'siblings':[]| 'fmc':[[], ['Jacaerys_Velaryon', 'Lucerys_Velaryon', 'Joffrey_Velaryon']]| 'love':['Rhaenyra_Targaryen']
Lambert_Turnberry:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lancel_Lannister:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lanna_Lannister:'siblings':[]| 'fmc':[[], []]| 'love':['Antario_Jast']
Tygett_Lannister:'siblings':['Tywin_Lannister', 'Kevan_Lannister', 'Genna_Lannister', 'Gerion_Lannister']| 'fmc':[['Tytos_Lannister', 'Jeyne_Marbrand'], ['Tyrek_Lannister']]| 'love':['Darlessa_Marbrand']
Tyrek_Lannister:'siblings':[]| 'fmc':[['Tygett_Lannister', 'Darlessa_Marbrand'], []]| 'love':['Ermesande_Hayford']
Tytos_Lannister:'siblings':[]| 'fmc':[[], ['Tywin_Lannister', 'Kevan_Lannister', 'Tygett_Lannister', 'Gerion_Lannister', 'Genna_Lannister']]| 'love':[]
Tywin_Lannister:'siblings':['Kevan_Lannister', 'Tygett_Lannister', 'Gerion_Lannister', 'Genna_Lannister']| 'fmc':[['Tytos_Lannister', 'Jeyne_Marbrand'], ['Jaime_Lannister', 'Cersei_Lannister', 'Tyrion_Lannister']]| 'love':['Joanna_Lannister']
Larence_Snow:'siblings':['Daryn_Hornwood']| 'fmc':[['Halys_Hornwood'], []]| 'love':[]
Lark:'siblings':[]| 'fmc':[[], []]| 'love':[]
Larys_Strong:'siblings':['Harwin_Strong']| 'fmc':[['Lyonel_Strong'], []]| 'love':[]
Last_hero:'siblings':[]| 'fmc':[[], []]| 'love':[]
Last_Lord_Tarbeck:'siblings':[]| 'fmc':[['Rohanne_Tarbeck'], []]| 'love':[]
Laswell_Peake:'siblings':[]| 'fmc':[[], []]| 'love':[]
Leana_Frey:'siblings':['Tysane_Frey', 'Walda_Frey_(daughter_of_Lothar)', 'Emberlei_Frey']| 'fmc':[['Lothar_Frey', 'Leonella_Lefford'], []]| 'love':[]
Leathers:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lelia_Lannister:'siblings':[]| 'fmc':[[], ['Harmund_III_Hoare', 'Hagon_Hoare']]| 'love':['Harmund_II_Hoare']
Lem_Lemoncloak:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lenwood_Tawney:'siblings':[]| 'fmc':[[], []]| 'love':[]
Leo_Blackbar:'siblings':[]| 'fmc':[[], []]| 'love':['Olene_Tyrell']
Leo_Tyrell_(son_of_Moryn):'siblings':['Luthor_Tyrell_(son_of_Moryn)']| 'fmc':[[], []]| 'love':[]
Leo_Tyrell_(son_of_Victor):'siblings':['Victaria_Tyrell']| 'fmc':[['Victor_Tyrell'], []]| 'love':['Alys_Beesbury']
Leobald_Tallhart:'siblings':['Helman_Tallhart']| 'fmc':[[], ['Brandon_Tallhart', 'Beren_Tallhart']]| 'love':['Berena_Hornwood']
Leona_Woolfield:'siblings':[]| 'fmc':[[], ['Wynafryd_Manderly', 'Wylla_Manderly']]| 'love':['Wylis_Manderly']
Leonella_Lefford:'siblings':[]| 'fmc':[[], ['Tysane_Frey', 'Walda_Frey_(daughter_of_Lothar)', 'Emberlei_Frey', 'Leana_Frey']]| 'love':['Lothar_Frey']
Leonette_Fossoway:'siblings':[]| 'fmc':[[], []]| 'love':['Garlan_Tyrell']
Leslyn_Haigh:'siblings':[]| 'fmc':[[], ['Harys_Haigh', 'Donnel_Haigh', 'Alyn_Haigh']]| 'love':['Perriane_Frey']
Lester:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lew:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lew_(Winterfell_Guard):'siblings':[]| 'fmc':[[], []]| 'love':[]
Lewys_Lydden:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lewys_Piper:'siblings':['Marq_Piper']| 'fmc':[['Clement_Piper'], []]| 'love':[]
Lharys:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lia_Serry:'siblings':[]| 'fmc':[[], ['Elinor_Tyrell', 'Luthor_Tyrell_(son_of_Theodore)']]| 'love':['Theodore_Tyrell']
Lianna_Velaryon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lily:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lodos_(I):'siblings':[]| 'fmc':[[], []]| 'love':[]
Lodos_(II):'siblings':[]| 'fmc':[[], []]| 'love':[]
Lomys:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lonnel_Snow:'siblings':['Rodwell_Stark', 'Beron_Stark', 'Arsa_Stark']| 'fmc':[['Brandon_Stark_(Son_of_Cregan)', 'Wylla_Fenn'], []]| 'love':[]
Loras_Tyrell:'siblings':['Margaery_Tyrell', 'Garlan_Tyrell', 'Willas_Tyrell']| 'fmc':[['Mace_Tyrell', 'Alerie_Hightower'], []]| 'love':['Renly_Baratheon']
Lord_Commander_Hoare:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lord_Commander_Qorgyle:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lord_Commander%27s_Raven:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lord_Staunton_(Father_of_Cassella):'siblings':[]| 'fmc':[[], ['Cassella_Staunton']]| 'love':[]
Lord_Sunglass:'siblings':['Guncer_Sunglass']| 'fmc':[[], []]| 'love':[]
Lord_Tarbeck_(Son_of_Alyn):'siblings':[]| 'fmc':[['Alyn_Tarbeck', 'Jeyne_Westerling_(Wife_of_Maegor_I)'], []]| 'love':[]
Loren_I_Lannister:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lorence_Roxton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lorent_Caswell:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lorent_Lorch:'siblings':[]| 'fmc':[[], []]| 'love':[]
Loreon_I_Lannister:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lorimar_Peake:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lorimer:'siblings':[]| 'fmc':[[], []]| 'love':[]
Loron_Greyjoy:'siblings':[]| 'fmc':[[], []]| 'love':[]
Loron_Greyjoy_(lord):'siblings':[]| 'fmc':[[], []]| 'love':[]
Lorra_Royce:'siblings':[]| 'fmc':[[], ['Donnor_Stark', 'Willam_Stark', 'Artos_Stark', 'Rodrik_Stark_(Son_of_Beron)']]| 'love':['Beron_Stark']
Lothar_Bracken:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lothar_Frey:'siblings':['Stevron_Frey', 'Emmon_Frey', 'Aenys_Frey', 'Jared_Frey', 'Hosteen_Frey', 'Symond_Frey', 'Merrett_Frey', 'Olyvar_Frey', 'Roslin_Frey', 'Walder_Rivers']| 'fmc':[['Walder_Frey'], []]| 'love':[]
Lothor_Brune:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lucamore_Strong:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lucas_Blackwood:'siblings':['Hoster_Blackwood']| 'fmc':[['Tytos_Blackwood'], []]| 'love':[]
Lucas_Codd:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lucas_Corbray:'siblings':['Lyonel_Corbray', 'Lyn_Corbray']| 'fmc':[[], []]| 'love':[]
Lucas_Roote:'siblings':[]| 'fmc':[[], []]| 'love':[]
Luceon_Frey:'siblings':['Jared_Frey']| 'fmc':[['Walder_Frey', 'Cyrenna_Swann'], []]| 'love':[]
Lucifer_Hardy:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lucifer_Justman:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lucifer_Massey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lucimore_Botley:'siblings':['Sawane_Botley', 'Germund_Botley', 'Sargon_Botley']| 'fmc':[[], []]| 'love':[]
Lucinda_Tully:'siblings':['Ella_Broome']| 'fmc':[[], []]| 'love':['Prentys_Tully']
Lucion_Lannister:'siblings':['Lanna_Lannister']| 'fmc':[['Damion_Lannister', 'Shiera_Crakehall'], []]| 'love':[]
Luthor_Tyrell:'siblings':['Garth_Tyrell']| 'fmc':[[], ['Mace_Tyrell', 'Mina_Tyrell', 'Janna_Tyrell']]| 'love':['Olenna_Tyrell']
Luthor_Tyrell_(son_of_Moryn):'siblings':['Leo_Tyrell_(son_of_Moryn)']| 'fmc':[[], ['Theodore_Tyrell', 'Medwick_Tyrell', 'Olene_Tyrell']]| 'love':['Elyn_Norridge']
Luthor_Tyrell_(son_of_Theodore):'siblings':['Elinor_Tyrell']| 'fmc':[['Theodore_Tyrell', 'Lia_Serry'], []]| 'love':[]
Luwin:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lyanna_Mormont:'siblings':['Dacey_Mormont']| 'fmc':[['Maege_Mormont'], []]| 'love':[]
Lyanna_Stark:'siblings':['Brandon_Stark', 'Eddard_Stark', 'Benjen_Stark']| 'fmc':[['Rickard_Stark', 'Lyarra_Stark'], []]| 'love':[]
Lyanna_Stark_(Daughter_of_Cregan):'siblings':['Rickon_Stark_(Son_of_Cregan)', 'Sarra_Stark', 'Alys_Stark', 'Raya_Stark', 'Mariah_Stark', 'Jonnel_Stark', 'Edric_Stark_(Son_of_Cregan)', 'Barthogan_Stark', 'Brandon_Stark_(Son_of_Cregan)']| 'fmc':[['Cregan_Stark', 'Lynara_Stark'], []]| 'love':[]
Lyarra_Stark:'siblings':['Branda_Stark']| 'fmc':[['Rodrik_Stark', 'Arya_Flint'], ['Brandon_Stark', 'Eddard_Stark', 'Lyanna_Stark', 'Benjen_Stark']]| 'love':['Rickard_Stark']
Lyle_Crakehall:'siblings':['Tybolt_Crakehall', 'Merlon_Crakehall']| 'fmc':[['Roland_Crakehall'], []]| 'love':[]
Lyman_Darry:'siblings':[]| 'fmc':[['Raymun_Darry'], []]| 'love':[]
Lyman_Lannister:'siblings':[]| 'fmc':[[], ['Tyler_Hill']]| 'love':['Jocasta_Lannister']
Lymond_Goodbrook:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lymond_Hightower:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lymond_Mallister:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lymond_Vikary:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lyn_Corbray:'siblings':['Lyonel_Corbray', 'Lucas_Corbray']| 'fmc':[[], []]| 'love':[]
Lynara_Stark:'siblings':[]| 'fmc':[[], ['Jonnel_Stark', 'Edric_Stark_(Son_of_Cregan)', 'Lyanna_Stark_(Daughter_of_Cregan)', 'Barthogan_Stark', 'Brandon_Stark_(Son_of_Cregan)']]| 'love':['Cregan_Stark']
Lynora_Hill:'siblings':['Damon_Lannister_(son_of_Jason)', 'Stafford_Lannister', 'Joanna_Lannister']| 'fmc':[['Jason_Lannister_(son_of_Gerold)'], []]| 'love':[]
Lyonce:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lyonel_Baratheon:'siblings':[]| 'fmc':[[], ['Ormund_Baratheon']]| 'love':[]
Lyonel_Corbray:'siblings':['Lyn_Corbray', 'Lucas_Corbray']| 'fmc':[[], []]| 'love':[]
Lyonel_Frey:'siblings':['Cleos_Frey', 'Tion_Frey', 'Walder_Frey_(son_of_Emmon_Frey)']| 'fmc':[['Emmon_Frey', 'Genna_Lannister'], []]| 'love':['Melesa_Crakehall']
Lyonel_Strong:'siblings':[]| 'fmc':[[], ['Harwin_Strong', 'Larys_Strong', 'Alys_Rivers']]| 'love':[]
Lysa_Arryn:'siblings':['Edmure_Tully', 'Catelyn_Stark']| 'fmc':[['Hoster_Tully', 'Minisa_Tully'], ['Robert_Arryn']]| 'love':['Jon_Arryn', 'Petyr_Baelish']
Lysa_Farman:'siblings':[]| 'fmc':[[], []]| 'love':['Dalton_Greyjoy']
Lysa_Locke:'siblings':[]| 'fmc':[[], ['Rickon_Stark_(Son_of_Benjen)', 'Bennard_Stark']]| 'love':['Benjen_Stark_(Lord)']
Lysa_Meadows:'siblings':[]| 'fmc':[[], ['Raymund_Tyrell', 'Rickard_Tyrell', 'Megga_Tyrell']]| 'love':['Olymer_Tyrell']
Lythene_Frey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mace_Tyrell:'siblings':['Janna_Tyrell', 'Mina_Tyrell']| 'fmc':[['Luthor_Tyrell', 'Olenna_Tyrell'], ['Willas_Tyrell', 'Garlan_Tyrell', 'Loras_Tyrell', 'Margaery_Tyrell']]| 'love':['Alerie_Hightower']
Mad_Huntsman:'siblings':[]| 'fmc':[[], []]| 'love':[]
Maege_Mormont:'siblings':[]| 'fmc':[[], ['Dacey_Mormont', 'Lyanna_Mormont']]| 'love':[]
Maegelle_Targaryen:'siblings':['Aegon_Targaryen_(son_of_Jaehaerys_I)', 'Alyssa_Targaryen', 'Daella_Targaryen_(daughter_of_Jaehaerys_I)', 'Aeryn_Targaryen', 'Vaegon_Targaryen', 'Valerion_Targaryen', 'Viserra_Targaryen', 'Gaemon_Targaryen_(son_of_Jaehaerys_I)', 'Saera_Targaryen', 'Gael_Targaryen']| 'fmc':[['Jaehaerys_I_Targaryen', 'Alysanne_Targaryen'], []]| 'love':[]
Maegon_Targaryen:'siblings':['Aerys_Targaryen_(son_of_Aegon)']| 'fmc':[['Aegon_Targaryen_(son_of_Gaemon)', 'Elaena_Targaryen_(daughter_of_Gaemon)'], []]| 'love':[]
Maekar_I_Targaryen:'siblings':['Rhaegel_Targaryen', 'Aerys_I_Targaryen', 'Baelor_Targaryen_(son_of_Daeron_II)']| 'fmc':[['Daeron_II_Targaryen'], ['Aerion_Targaryen', 'Daeron_Targaryen', 'Aemon_Targaryen', 'Daella_Targaryen_(daughter_of_Maekar_I)', 'Aegon_V_Targaryen', 'Rhae_Targaryen']]| 'love':['Dyanna_Dayne']
